model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,mae_mean,kappa_mean,f1_not_exp_mean,f1_junior_mean,f1_midlevel_mean,f1_senior_mean
gemini,C1b,javascript,ordinal,concat,0.5384463551463419,0.023100983058651,0.7537713607065647,0.2541787525613798,0.4676975108588087,0.6815920242061837,0.8354605866738559,0.4519588120281043,0.1847739976772235
qwen3-4b,C1a,javascript,ordinal,none,0.5361231591460763,0.0129687130111983,0.7468567058887399,0.2600158351156137,0.4519017484174986,0.6502249941263337,0.8311687556729597,0.4552669964531216,0.2078318903318903
qwen3-0.6b,C2a,javascript,ordinal,none,0.5356671500042729,0.0318640136878331,0.7679086394543393,0.2314578514536685,0.486113303459546,0.6827627833232602,0.8515491507312264,0.4746353952848129,0.1337212706777924
openai-small,C1b,javascript,ordinal,concat,0.5298762890261797,0.0115102268350479,0.7502892812446584,0.2589144729470992,0.4598887275390754,0.6687179046721967,0.832800368155465,0.4555784857688412,0.162408397508216
jina-v5-small,C2a,javascript,ordinal,none,0.5296989790453586,0.0086991429385884,0.7542606113583503,0.2453415878438099,0.4566433327098576,0.6520041634558547,0.8407815333864986,0.4610271093902955,0.164983109948785
qwen3-4b,C2a,javascript,nominal,none,0.5296267489046936,0.026140055875544,0.7558290411615536,0.2527554595046796,0.4799106076943705,0.6664610825307102,0.8311282983364432,0.5112778631988262,0.109639751552795
qwen3-0.6b,C1a,javascript,ordinal,none,0.529415841663079,0.0200800590357972,0.7673505710088497,0.2295641110549523,0.4847533234967908,0.670074842506317,0.8517749865899775,0.484771439557402,0.1110420979986197
openai-small,C2b,javascript,ordinal,concat,0.5288606039090451,0.0200783361914777,0.746889278029718,0.2592285609714196,0.4530780543297835,0.6485851313796117,0.8299345148778532,0.4665080228349365,0.1704147465437788
gemini,C3,javascript,ordinal,none,0.5280353312628115,0.0232306868432784,0.7327605931926565,0.271535632744828,0.4198271120870216,0.6228814618016119,0.8220108116371245,0.4262233839951908,0.2410256676173191
cohere,C1a,javascript,ordinal,none,0.5260019346117527,0.0220861549117613,0.7450297342555123,0.2619113183729668,0.4432484739981057,0.6587821392699441,0.8313845401479778,0.4335915766403876,0.1802494823887014
jina-v5-small,C1a,javascript,ordinal,none,0.5245137059223913,0.0270039868527795,0.7613983035891388,0.2374544055731639,0.4725327786031805,0.6639011918066106,0.8467204732383591,0.4736046073332068,0.1138285513113888
