checkpoint,n_pos,n_neg,auc,pr_auc_pass,macro_f1,recall_at_p50_pass,recall_at_p95_pass,auc_no_position_features,auc_delta_position,fold_aucs
256,5906,283,0.6646567723546397,0.0796481763191158,0.5231876947607677,0.0,0.0,0.6557600284312892,0.008896743923350492,0.6945;0.6926;0.6435;0.6802;0.6174
512,5906,283,0.7548519263514735,0.11176370869505853,0.563215957209717,0.0035335689045936395,0.0,0.7427147812789054,0.012137145072568023,0.7753;0.7273;0.7635;0.7821;0.7296
1024,5906,283,0.7843571668746762,0.13275896367052692,0.5783449461212808,0.0,0.0,0.7681252460515091,0.016231920823167045,0.7924;0.7680;0.7922;0.8023;0.7674
2048,5906,283,0.7875682512483562,0.14723976555183654,0.5874560244905013,0.007067137809187279,0.0035335689045936395,0.7804373943249903,0.0071308569233659025,0.7816;0.7708;0.8172;0.7981;0.7742
4096,5906,283,0.7977375825506553,0.14484453626041854,0.58367225138927,0.0035335689045936395,0.0035335689045936395,0.7918999544094226,0.005837628141232676,0.7996;0.7822;0.8224;0.8037;0.7846
full,5906,283,0.7962376405859046,0.14407142591393735,0.5813084484062239,0.0035335689045936395,0.0035335689045936395,0.7903476610597835,0.005889979526121136,0.7971;0.7824;0.8209;0.8030;0.7806
pooled,35436,1698,0.7602200373579483,0.11742492095139831,0.563833807612545,0.0005889281507656066,0.0005889281507656066,,,0.7338;0.7310;0.7677;0.7947;0.7736
